text,label
"Finish writing the quarterly report and mark it as complete",task
"Complete the quarterly report and mark it as done",task
"Finalize the quarterly report and check it off",task
"Wrap up the quarterly report and mark it complete",task
"Submit the quarterly report and mark it as finished",task
"Complete and finalize the quarterly report today",task
"Finish the quarterly report and mark it as completed",task
"Finalize and complete the quarterly report, then mark it as done",task
"Complete the quarterly report before the deadline and mark it complete",task
"Finalize the quarterly report and mark it as finished",task
"Email Bob regarding the project update",task
"Send an email to Bob about the project update",task
"Drop an email to Bob with the latest project update",task
"Compose an email to Bob regarding the project update",task
"Write and send an email to Bob about the project update",task
"Email Bob with the recent update on the project",task
"Send project update email to Bob",task
"Quickly email Bob regarding the latest project update",task
"Email Bob about the new project update",task
"Draft an email to Bob concerning the project update",task
"Call the electrician to schedule a visit",task
"Phone the electrician to arrange a service call",task
"Contact the electrician to book a visit",task
"Call the electrician to set up an appointment",task
"Give the electrician a call to schedule a repair visit",task
"Dial the electrician to plan a visit",task
"Reach out to the electrician to schedule a checkup",task
"Call the electrician for a service appointment",task
"Phone the electrician to arrange a visit",task
"Contact the electrician and schedule a visit",task
"Pick up groceries and do laundry",task
"Grab groceries and complete laundry",task
"Get groceries and do the laundry",task
"Collect groceries and wash the laundry",task
"Buy groceries and handle laundry",task
"Pick up groceries and run the laundry",task
"Purchase groceries and do the laundry",task
"Collect groceries and complete the laundry",task
"Get groceries and start the laundry",task
"Run errands: pick up groceries and do laundry",task
"Review and complete pending invoices",task
"Go through and finish pending invoices",task
"Check and complete the pending invoices",task
"Review pending invoices and mark them complete",task
"Audit and finalize the pending invoices",task
"Review and clear pending invoices",task
"Verify and complete all pending invoices",task
"Inspect and finalize pending invoices",task
"Review and settle the pending invoices",task
"Go over pending invoices and mark them as complete",task
"Team meeting on Friday from 9 AM to 11 AM",event
"Friday team meeting scheduled from 9 AM to 11 AM",event
"Team sync on Friday from 9 to 11 in the morning",event
"Friday meeting with the team from 9 AM until 11 AM",event
"Team discussion on Friday between 9 and 11 AM",event
"Friday team call from 9 AM to 11 AM",event
"Team meeting this Friday from 9 AM to 11 AM",event
"Scheduled team meeting on Friday from 9 AM to 11 AM",event
"Friday's team meeting from 9 AM to 11 AM",event
"Team meeting on Friday morning from 9 AM to 11 AM",event
"Client presentation on Monday from 2 PM to 4 PM",event
"Presentation for client on Monday between 2 and 4 PM",event
"Monday client presentation scheduled from 2 PM to 4 PM",event
"Client meeting on Monday from 2 PM to 4 PM",event
"Monday presentation to the client from 2 to 4 PM",event
"Client presentation on Monday afternoon from 2 PM to 4 PM",event
"Monday client meeting with presentation from 2 to 4 PM",event
"Present client proposal on Monday from 2 PM to 4 PM",event
"Client presentation scheduled on Monday from 2 PM to 4 PM",event
"Deliver client presentation on Monday between 2 and 4 PM",event
"Dinner appointment tomorrow from 7 PM to 9 PM",event
"Dinner meeting scheduled for tomorrow from 7 PM to 9 PM",event
"Tomorrow's dinner appointment from 7 to 9 PM",event
"Dinner reservation tomorrow between 7 PM and 9 PM",event
"Evening dinner appointment tomorrow from 7 PM to 9 PM",event
"Plan dinner appointment tomorrow from 7 to 9 PM",event
"Dinner meeting set for tomorrow from 7 PM to 9 PM",event
"Schedule dinner appointment tomorrow from 7 PM to 9 PM",event
"Dinner date tomorrow from 7 to 9 PM",event
"Dinner appointment scheduled for tomorrow from 7 PM to 9 PM",event
"Doctor appointment on March 12 at 10 AM to 11 AM",event
"Medical appointment on March 12 from 10 to 11 AM",event
"March 12 doctor visit from 10 AM to 11 AM",event
"Doctor consultation on March 12 between 10 and 11 AM",event
"Schedule doctor appointment on March 12 from 10 AM to 11 AM",event
"Doctor appointment on March 12 from 10 AM until 11 AM",event
"Medical checkup on March 12 at 10 to 11 AM",event
"Doctor visit scheduled on March 12 from 10 AM to 11 AM",event
"March 12 appointment with doctor from 10 to 11 AM",event
"Doctor consultation on March 12 from 10 AM to 11 AM",event
"Birthday party on May 5 starting at 6 PM",event
"May 5 birthday party beginning at 6 PM",event
"Birthday celebration on May 5 starting at 6 in the evening",event
"May 5 party for birthday beginning at 6 PM",event
"Birthday event on May 5 kicking off at 6 PM",event
"Party on May 5 for a birthday starting at 6 PM",event
"Celebrate birthday on May 5 starting from 6 PM",event
"Birthday bash on May 5 beginning at 6 PM",event
"May 5 birthday party scheduled to start at 6 PM",event
"Birthday party on May 5 starting at 6 PM sharp",event
"Webinar on AI trends on April 15 from 2 PM to 3 PM",event
"April 15 webinar about AI trends from 2 to 3 PM",event
"Attend webinar on AI trends on April 15 between 2 and 3 PM",event
"Webinar scheduled on April 15 on AI trends from 2 PM to 3 PM",event
"Join the webinar on AI trends on April 15 from 2 to 3 PM",event
"AI trends webinar on April 15 from 2 PM to 3 PM",event
"Online webinar on AI trends scheduled for April 15, 2-3 PM",event
"Webinar on the latest AI trends on April 15 from 2 PM to 3 PM",event
"Register for the AI trends webinar on April 15 from 2 to 3 PM",event
"Webinar about AI trends on April 15, 2 PM to 3 PM",event
"Workout for 45 minutes",activity
"Exercise for 45 minutes",activity
"Gym session for 45 minutes",activity
"Do a 45-minute workout",activity
"45-minute exercise session",activity
"Perform a 45-minute workout",activity
"45 minutes of exercising",activity
"Complete a 45-minute gym workout",activity
"45-minute training session",activity
"Engage in a 45-minute workout",activity
"Yoga session for 1 hour",activity
"Practice yoga for 1 hour",activity
"Do a 1-hour yoga session",activity
"1 hour of yoga practice",activity
"Complete a yoga session lasting 1 hour",activity
"Attend a 1-hour yoga class",activity
"1 hour yoga workout",activity
"Engage in a 1-hour yoga session",activity
"Practice a 1-hour session of yoga",activity
"Spend 1 hour on yoga",activity
"Practice piano for 30 minutes",activity
"30 minutes of piano practice",activity
"Do a 30-minute piano session",activity
"Play piano for 30 minutes",activity
"30-minute piano practice",activity
"Spend 30 minutes practicing piano",activity
"Piano practice for 30 minutes",activity
"Engage in 30 minutes of piano practice",activity
"Practice the piano for 30 minutes",activity
"30 minutes of practicing piano",activity
"Study for the exam for 2 hours",activity
"2-hour exam study session",activity
"Spend 2 hours studying for the exam",activity
"Prepare for the exam for 2 hours",activity
"2 hours of exam preparation",activity
"Study session for the exam lasting 2 hours",activity
"Dedicate 2 hours to exam studying",activity
"Exam study for 2 hours",activity
"2 hours spent on exam preparation",activity
"Study for the upcoming exam for 2 hours",activity
"Read a book for 20 minutes",activity
"20 minutes of reading a book",activity
"Spend 20 minutes reading a book",activity
"Read for 20 minutes",activity
"20-minute book reading session",activity
"Enjoy reading a book for 20 minutes",activity
"Dedicate 20 minutes to reading",activity
"Read a book over 20 minutes",activity
"Spend 20 minutes on book reading",activity
"20 minutes of reading time",activity
"Jogging for 30 minutes",activity
"Go jogging for 30 minutes",activity
"30-minute jogging session",activity
"Spend 30 minutes jogging",activity
"Do a 30-minute jog",activity
"30 minutes of jogging",activity
"Engage in a 30-minute jogging session",activity
"Run for 30 minutes",activity
"30-minute run/jog session",activity
"Jog for 30 minutes",activity
"Meditate for 15 minutes",activity
"15-minute meditation session",activity
"Spend 15 minutes meditating",activity
"Do a 15-minute meditation",activity
"15 minutes of meditation",activity
"Engage in a 15-minute meditation",activity
"15 minutes of mindfulness meditation",activity
"Meditation for 15 minutes",activity
"Take 15 minutes to meditate",activity
"Meditate for 15 minutes daily",activity
